Canada - MB,1204200,0.00372
Canada - MB,1204201,0.00384
Canada - MB,1204202,0.00396
Canada - MB,1204203,0.00336
Canada - MB,1204204,0.01752
Canada - MB,1204205,0.0042
Canada - MB,1204206,0.00348
Canada - MB,1204207,0.00576
Canada - MB,1204208,0.00288
Canada - MB,1204209,0.00336
Canada - MB,1204210,0.00324
AFGHANISTAN MOBILE AREEBA MTN,9376,0.132
AFGHANISTAN MOBILE AREEBA MTN,9377,0.04
AFGHANISTAN MOBILE AT,9374,0.1316
AFGHANISTAN MOBILE AT,9375,0.1733
AFGHANISTAN MOBILE AWCC,9370,0.1595
AFGHANISTAN MOBILE AWCC,9371,0.1595
AFGHANISTAN MOBILE ETISALAT,9373,0.1121
AFGHANISTAN MOBILE ETISALAT,9378,0.1121
AFGHANISTAN MOBILE ROSHAN,9372,0.1714
AFGHANISTAN MOBILE ROSHAN,9379,0.1414
BANGLADESH,880,0.0109
BANGLADESH CHITTAGONG,88031,0.0109
BANGLADESH DHAKA,8802,0.0109
BANGLADESH MOBILE,8801,0.007
BANGLADESH MOBILE,88011,0.0092
BANGLADESH MOBILE AIRTEL,88016,0.0092
BANGLADESH MOBILE BANGLALINK,88014,0.0092
BANGLADESH MOBILE BANGLALINK,88019,0.0092
BANGLADESH MOBILE GRAMEEN,880130,0.0092
BANGLADESH MOBILE GRAMEEN,880131,0.0092
BANGLADESH MOBILE GRAMEEN,8801320,0.0092
BANGLADESH MOBILE GRAMEEN,8801321,0.0092
BANGLADESH MOBILE GRAMEEN,8801322,0.0092
BANGLADESH MOBILE GRAMEEN,8801323,0.0092
BANGLADESH MOBILE GRAMEEN,8801324,0.0092
BANGLADESH MOBILE GRAMEEN,88017,0.0092
BANGLADESH MOBILE ROBI AXIATA,88018,0.0092
BANGLADESH MOBILE TELETALK,88015,0.0092
BANGLADESH SYLHET,880821,0.0109
BRUNEI,673,0.0394
BRUNEI MOBILE,673227,0.0394
BRUNEI MOBILE,673228,0.0394
BRUNEI MOBILE,673229,0.0394
BRUNEI MOBILE,67371,0.0394
BRUNEI MOBILE,67372,0.0394
BRUNEI MOBILE,67373,0.0394
BRUNEI MOBILE,673769,0.0394
BRUNEI MOBILE,67377,0.0394
BRUNEI MOBILE,6738,0.0394
BRUNEI MOBILE,6739,0.0394
CAMBODIA,855,0.0456
CAMBODIA MOBILE,8551,0.0456
CAMBODIA MOBILE,855100,0.0456
CAMBODIA MOBILE,855101,0.0456
CAMBODIA MOBILE,855310,0.0456
CAMBODIA MOBILE,855311,0.0456
CAMBODIA MOBILE,85538,0.0456
CAMBODIA MOBILE,85539,0.0456
CAMBODIA MOBILE,855600,0.0456
CAMBODIA MOBILE,855601,0.0456
CAMBODIA MOBILE,855660,0.0456
CAMBODIA MOBILE,855661,0.0456
CAMBODIA MOBILE,855670,0.0456
CAMBODIA MOBILE,855671,0.0456
CAMBODIA MOBILE,855680,0.0456
CAMBODIA MOBILE,855681,0.0456
CAMBODIA MOBILE,855710,0.0456
CAMBODIA MOBILE,855711,0.0456
CAMBODIA MOBILE,85579,0.0456
CAMBODIA MOBILE,8558,0.0456
CAMBODIA MOBILE,85580,0.0456
CAMBODIA MOBILE,85583,0.0456
CAMBODIA MOBILE,85584,0.0456
CAMBODIA MOBILE,855880,0.0456
CAMBODIA MOBILE,855881,0.0456
CAMBODIA MOBILE,8559,0.0456
CAMBODIA MOBILE,855900,0.0456
CAMBODIA MOBILE,855901,0.0456
CAMBODIA MOBILE CELLCARD,85511,0.0345
CAMBODIA MOBILE CELLCARD,85561,0.0345
CAMBODIA MOBILE CELLCARD,85576,0.0345
CAMBODIA MOBILE CELLCARD,85585,0.0345
CAMBODIA MOBILE CELLCARD,85599,0.0345
CAMBODIA MOBILE METFONE,85531,0.046
CAMBODIA MOBILE METFONE,85560,0.046
CAMBODIA MOBILE METFONE,85566,0.046
CAMBODIA MOBILE METFONE,85567,0.046
CAMBODIA MOBILE METFONE,85568,0.046
CAMBODIA MOBILE METFONE,85571,0.046
CAMBODIA MOBILE METFONE,85588,0.046
CAMBODIA MOBILE METFONE,85590,0.046
CAMBODIA MOBILE MOBITEL,855112,0.0495
CAMBODIA MOBILE MOBITEL,855113,0.0495
CAMBODIA MOBILE MOBITEL,855114,0.0495
CAMBODIA MOBILE MOBITEL,855115,0.0495
CAMBODIA MOBILE MOBITEL,855116,0.0495
CAMBODIA MOBILE MOBITEL,855117,0.0495
CAMBODIA MOBILE MOBITEL,855118,0.0495
CAMBODIA MOBILE MOBITEL,855119,0.0495
CAMBODIA MOBILE MOBITEL,85512,0.0495
CAMBODIA MOBILE MOBITEL,85514,0.0495
CAMBODIA MOBILE MOBITEL,85517,0.0495
CAMBODIA MOBILE MOBITEL,8552330,0.0495
CAMBODIA MOBILE MOBITEL,8552331,0.0495
CAMBODIA MOBILE MOBITEL,8552332,0.0495
CAMBODIA MOBILE MOBITEL,8552333,0.0495
CAMBODIA MOBILE MOBITEL,8552334,0.0495
CAMBODIA MOBILE MOBITEL,8552335,0.0495
CAMBODIA MOBILE MOBITEL,8552336,0.0495
CAMBODIA MOBILE MOBITEL,8552350,0.0495
CAMBODIA MOBILE MOBITEL,8552351,0.0495
CAMBODIA MOBILE MOBITEL,8552352,0.0495
CAMBODIA MOBILE MOBITEL,8552353,0.0495
CAMBODIA MOBILE MOBITEL,8552354,0.0495
CAMBODIA MOBILE MOBITEL,8552355,0.0495
CAMBODIA MOBILE MOBITEL,8552430,0.0495
CAMBODIA MOBILE MOBITEL,8552431,0.0495
CAMBODIA MOBILE MOBITEL,8552432,0.0495
CAMBODIA MOBILE MOBITEL,8552433,0.0495
CAMBODIA MOBILE MOBITEL,8552434,0.0495
CAMBODIA MOBILE MOBITEL,8552435,0.0495
CAMBODIA MOBILE MOBITEL,8552436,0.0495
CAMBODIA MOBILE MOBITEL,8552450,0.0495
CAMBODIA MOBILE MOBITEL,8552451,0.0495
CAMBODIA MOBILE MOBITEL,8552452,0.0495
CAMBODIA MOBILE MOBITEL,8552453,0.0495
CAMBODIA MOBILE MOBITEL,8552454,0.0495
CAMBODIA MOBILE MOBITEL,8552455,0.0495
CAMBODIA MOBILE MOBITEL,8552530,0.0495
CAMBODIA MOBILE MOBITEL,8552531,0.0495
CAMBODIA MOBILE MOBITEL,8552532,0.0495
CAMBODIA MOBILE MOBITEL,8552533,0.0495
CAMBODIA MOBILE MOBITEL,8552534,0.0495
CAMBODIA MOBILE MOBITEL,8552535,0.0495
CAMBODIA MOBILE MOBITEL,8552536,0.0495
CAMBODIA MOBILE MOBITEL,8552550,0.0495
CAMBODIA MOBILE MOBITEL,8552551,0.0495
CAMBODIA MOBILE MOBITEL,8552552,0.0495
CAMBODIA MOBILE MOBITEL,8552553,0.0495
