npa,country_code,country_name,state_province_code,state_province_name,region,created_at,updated_at,notes,is_active
445,US,United States,PA,Pennsylvania,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
447,US,United States,IL,Illinois,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
448,US,United States,FL,Florida,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
450,CA,Canada,QC,Quebec,CA,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
458,US,United States,OR,Oregon,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
463,US,United States,IN,Indiana,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
464,US,United States,IL,Illinois,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
468,CA,Canada,QC,Quebec,CA,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
469,US,United States,TX,Texas,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
470,US,United States,GA,Georgia,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
472,US,United States,NC,North Carolina,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
473,GD,Grenada,GD,Grenada,Caribbean,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
474,CA,Canada,SK,Saskatchewan,CA,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
475,US,United States,CT,Connecticut,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
478,US,United States,GA,Georgia,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
479,US,United States,AR,Arkansas,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
480,US,United States,AZ,Arizona,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
484,US,United States,PA,Pennsylvania,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
501,US,United States,AR,Arkansas,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
502,US,United States,KY,Kentucky,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
503,US,United States,OR,Oregon,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
504,US,United States,LA,Louisiana,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
505,US,United States,NM,New Mexico,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
506,CA,Canada,NB,New Brunswick,CA,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
507,US,United States,MN,Minnesota,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
508,US,United States,MA,Massachusetts,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
509,US,United States,WA,Washington,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
510,US,United States,CA,California,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
512,US,United States,TX,Texas,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
513,US,United States,OH,Ohio,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
514,CA,Canada,QC,Quebec,CA,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
515,US,United States,IA,Iowa,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
516,US,United States,NY,New York,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
517,US,United States,MI,Michigan,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
518,US,United States,NY,New York,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
519,CA,Canada,ON,Ontario,CA,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
520,US,United States,AZ,Arizona,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
530,US,United States,CA,California,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
531,US,United States,NE,Nebraska,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
534,US,United States,WI,Wisconsin,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
539,US,United States,OK,Oklahoma,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
540,US,United States,VA,Virginia,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
541,US,United States,OR,Oregon,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
548,CA,Canada,ON,Ontario,CA,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
551,US,United States,NJ,New Jersey,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
557,US,United States,MO,Missouri,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
559,US,United States,CA,California,US,2025-07-12 13:48:49.253+00,2025-07-25 02:02:05.038082+00,Uploaded from LERG file on 2025-07-12T13:48:49.253Z,true
