prefix,rate (inter),intrastate,intrastate,effective
1201322,0.003444,0.00048,0.02565808,3/31/25
1201323,0.0113544,0.00279264,0.03299744,3/31/25
1201324,0.0096,0.00908352,0.03136,3/31/25
1201325,0.0096,0.00768,0.03136,3/31/25
1201326,0.0011316,0.00768,0.02344048,3/31/25
1201327,0.0096,0.00089184,0.03136,3/31/25
1201328,0.0056052,0.00768,0.02614864,3/31/25
1201329,0.0096,0.00321312,0.03136,3/31/25
1201330,0.0096,0.00768,0.03136,3/31/25
1201331,0.0277944,0.00768,0.02574992,3/31/25
1201332,0.0096,0.00287136,0.03136,3/31/25
1201333,0.0096,0.00768,0.03136,3/31/25
1201334,0.00114,0.00768,0.023464,3/31/25
1201335,0.0043032,0.000912,0.026572,3/31/25
1201336,0.0096,0.003576,0.03136,3/31/25
1201337,0.0096,0.00768,0.03136,3/31/25
1201338,0.0054996,0.00768,0.02637936,3/31/25
1201339,0.0096,0.00341088,0.03136,3/31/25
1201340,0.0046728,0.00768,0.02417072,3/31/25
1201341,0.0006972,0.00151776,0.02300928,3/31/25
1201342,0.0096,0.00052224,0.03136,3/31/25
1201343,0.0096,0.00768,0.03136,3/31/25
1201344,0.011472,0.00768,0.0331072,3/31/25
1201345,0.0025848,0.0091776,0.02585072,3/31/25
1201346,0.0096,0.00295776,0.03136,3/31/25
1201347,0.0023652,0.00768,0.02444512,3/31/25
1201348,0.0096,0.00175296,0.03136,3/31/25
1201349,0.011472,0.00768,0.0331072,3/31/25
1201350,0.0113544,0.0091776,0.03299744,3/31/25
1201351,0.0020052,0.00908352,0.02427152,3/31/25
1201352,0.001404,0.00160416,0.02480464,3/31/25
1201353,0.0039504,0.00206112,0.02575216,3/31/25
1201354,0.011472,0.00287328,0.0331072,3/31/25
1201355,0.003012,0.0091776,0.02558528,3/31/25
1201356,0.0062724,0.00273024,0.02749936,3/31/25
1201357,0.0033636,0.00437088,0.02553936,3/31/25
1201358,0.0096,0.00269088,0.03136,3/31/25
1201359,0.0011424,0.00768,0.02419984,3/31/25
1201360,0.0047448,0.00154272,0.02683408,3/31/25
1201361,0.004602,0.00380064,0.02684304,3/31/25
1201362,0.011472,0.00380832,0.0331072,3/31/25
1201363,0.0096,0.0091776,0.03136,3/31/25
1201364,0.00066,0.00768,0.02296,3/31/25
1201365,0.0028596,0.00048,0.02551584,3/31/25
1201366,0.0016584,0.00267072,0.02439808,3/31/25
1201367,0.0016548,0.00171264,0.02427376,3/31/25
1201368,0.0096,0.00160608,0.03136,3/31/25
1201369,0.0096,0.00768,0.03136,3/31/25
1201370,0.000708,0.00768,0.0230272,3/31/25
1201371,0.0036,0.0005376,0.02576,3/31/25
1201372,0.0096,0.00288,0.03136,3/31/25
1201373,0.0096,0.00768,0.03136,3/31/25
1201374,0.0018636,0.00768,0.02417184,3/31/25
1201375,0.0018816,0.00151872,0.02420096,3/31/25
1201376,0.011472,0.00154368,0.0331072,3/31/25
1201377,0.0012612,0.0091776,0.02348752,3/31/25
1201378,0.0013128,0.00093216,0.02682848,3/31/25
1201379,0.0047448,0.00379584,0.02683072,3/31/25
1201380,0.0022812,0.00379776,0.02355696,3/31/25
1201381,0.0096456,0.00099168,0.03143952,3/31/25
1201382,0.011472,0.00774816,0.0331072,3/31/25
1201383,0.002196,0.0091776,0.02438352,3/31/25
1201384,0.0096,0.00170016,0.03136,3/31/25
1201385,0.0096,0.00768,0.03136,3/31/25
1201386,0.0096,0.00768,0.03136,3/31/25
1201387,0.0096,0.00768,0.03136,3/31/25
1201388,0.00066,0.00768,0.02296,3/31/25
1201389,0.0036,0.00048,0.02576,3/31/25
1201390,0.00066,0.00288,0.02296,3/31/25
1201391,0.0096,0.00048,0.03136,3/31/25
1201392,0.0096,0.00768,0.03136,3/31/25
1201393,0.0096,0.00768,0.03136,3/31/25
1201394,0.0006876,0.00768,0.02296,3/31/25
1201395,0.0096,0.00048,0.03136,3/31/25
1201396,0.00066,0.00768,0.02296,3/31/25
1201397,0.0046032,0.00048,0.02393104,3/31/25
1201398,0.0096,0.00131232,0.03136,3/31/25
1201399,0.0011256,0.00768,0.02579808,3/31/25
1201400,0.0006888,0.00291264,0.02296,3/31/25
