prefix,rate (inter),intrastate,intrastate,effective
1201306,0.000574,0.0005,0.0205,3/31/25
1201307,0.008,0.008,0.028,3/31/25
1201308,0.00452,0.003553,0.023553,3/31/25
1201309,0.008,0.008,0.028,3/31/25
1201310,0.009462,0.009462,0.029462,3/31/25
1201312,0.009462,0.009462,0.029462,3/31/25
1201313,0.008,0.008,0.028,3/31/25
1201314,0.009462,0.009462,0.029462,3/31/25
1201315,0.009462,0.009462,0.029462,3/31/25
1201316,0.003,0.003219,0.023219,3/31/25
1201317,0.000575,0.0005,0.0205,3/31/25
1201318,0.006742,0.006776,0.026776,3/31/25
1201319,0.008,0.008,0.028,3/31/25
1201320,0.000583,0.0005,0.0205,3/31/25
1201321,0.000574,0.0005,0.0205,3/31/25
1201322,0.00287,0.002909,0.022909,3/31/25
1201323,0.009462,0.009462,0.029462,3/31/25
1201324,0.008,0.008,0.028,3/31/25
1201325,0.008,0.008,0.028,3/31/25
1201326,0.000943,0.000929,0.020929,3/31/25
1201327,0.008,0.008,0.028,3/31/25
1201328,0.004671,0.003347,0.023347,3/31/25
1201329,0.008,0.008,0.028,3/31/25
1201330,0.008,0.008,0.028,3/31/25
1201331,0.023162,0.002991,0.022991,3/31/25
1201332,0.008,0.008,0.028,3/31/25
1201333,0.008,0.008,0.028,3/31/25
1201334,0.00095,0.00095,0.02095,3/31/25
1201335,0.003586,0.003725,0.023725,3/31/25
1201336,0.008,0.008,0.028,3/31/25
1201337,0.008,0.008,0.028,3/31/25
1201338,0.004583,0.003553,0.023553,3/31/25
1201339,0.008,0.008,0.028,3/31/25
1201340,0.003894,0.001581,0.021581,3/31/25
1201341,0.000581,0.000544,0.020544,3/31/25
1201342,0.008,0.008,0.028,3/31/25
1201343,0.008,0.008,0.028,3/31/25
1201344,0.00956,0.00956,0.02956,3/31/25
1201345,0.002154,0.003081,0.023081,3/31/25
1201346,0.008,0.008,0.028,3/31/25
1201347,0.001971,0.001826,0.021826,3/31/25
1201348,0.008,0.008,0.028,3/31/25
1201349,0.00956,0.00956,0.02956,3/31/25
1201350,0.009462,0.009462,0.029462,3/31/25
1201351,0.001671,0.001671,0.021671,3/31/25
1201352,0.00117,0.002147,0.022147,3/31/25
1201353,0.003292,0.002993,0.022993,3/31/25
1201354,0.00956,0.00956,0.02956,3/31/25
1201355,0.00251,0.002844,0.022844,3/31/25
1201356,0.005227,0.004553,0.024553,3/31/25
1201357,0.002803,0.002803,0.022803,3/31/25
1201358,0.008,0.008,0.028,3/31/25
1201359,0.000952,0.001607,0.021607,3/31/25
1201360,0.003954,0.003959,0.023959,3/31/25
1201361,0.003835,0.003967,0.023967,3/31/25
1201362,0.00956,0.00956,0.02956,3/31/25
1201363,0.008,0.008,0.028,3/31/25
1201364,0.00055,0.0005,0.0205,3/31/25
1201365,0.002383,0.002782,0.022782,3/31/25
1201366,0.001382,0.001784,0.021784,3/31/25
1201367,0.001379,0.001673,0.021673,3/31/25
1201368,0.008,0.008,0.028,3/31/25
1201369,0.008,0.008,0.028,3/31/25
1201370,0.00059,0.00056,0.02056,3/31/25
1201371,0.003,0.003,0.023,3/31/25
1201372,0.008,0.008,0.028,3/31/25
1201373,0.008,0.008,0.028,3/31/25
1201374,0.001553,0.001582,0.021582,3/31/25
1201375,0.001568,0.001608,0.021608,3/31/25
1201376,0.00956,0.00956,0.02956,3/31/25
1201377,0.001051,0.000971,0.020971,3/31/25
1201378,0.001094,0.003954,0.023954,3/31/25
1201379,0.003954,0.003956,0.023956,3/31/25
1201380,0.001901,0.001033,0.021033,3/31/25
1201381,0.008038,0.008071,0.028071,3/31/25
1201382,0.00956,0.00956,0.02956,3/31/25
1201383,0.00183,0.001771,0.021771,3/31/25
1201384,0.008,0.008,0.028,3/31/25
1201385,0.008,0.008,0.028,3/31/25
1201386,0.008,0.008,0.028,3/31/25
1201387,0.008,0.008,0.028,3/31/25
1201388,0.00055,0.0005,0.0205,3/31/25
1201389,0.003,0.003,0.023,3/31/25
1201390,0.00055,0.0005,0.0205,3/31/25
1201391,0.008,0.008,0.028,3/31/25
1201392,0.008,0.008,0.028,3/31/25
1201393,0.008,0.008,0.028,3/31/25
1201394,0.000573,0.0005,0.0205,3/31/25
1201395,0.008,0.008,0.028,3/31/25
1201396,0.00055,0.0005,0.0205,3/31/25
1201397,0.003836,0.001367,0.021367,3/31/25
1201398,0.008,0.008,0.028,3/31/25
1201399,0.000938,0.003034,0.023034,3/31/25
1201400,0.000574,0.0005,0.0205,3/31/25
